stnam,allmath,allmath_se,allrla,allrla_se,lepmath,lepmath_se,leprla,leprla_se,cwdnmath,cwdmath_se,cwdrla,cwdrla_se,ecdmath,ecdmath_se,ecdrla,ecdrla_se
Oklahoma,65.139312039312,0.089509893121726,74.6389718291574,0.0683896551733079,50.2365010799136,0.0907154826102677,37.5943643512451,0.0537474113896246,55.0034426893479,0.0589354428016019,58.1723790322579,0.0618086692192445,60.2154182613451,0.0793898414474293,69.9209748892171,0.0633321210730841
Oregon,51.0752080856123,0.0690789237804569,74.1892872385828,0.063047024700897,24.3839530332681,0.0500283120644992,31.5501036627505,0.0475801161834847,27.3487201007134,0.0441143256507605,50.6794925124793,0.0648634379961839,41.5662953254697,0.0609351874315615,66.4745241754339,0.0614954754272228
Pennsylvania,44.2425022157421,0.0602526211498683,50.2408664982115,0.0603257853625598,44.8584828711256,0.0411224734138271,31.5696969696969,0.0353918508884235,26.3740442023674,0.0342383616915814,32.8063774777363,0.0411947903892773,42.3569947861047,0.0555009497251654,47.938476074029,0.055222349881977
Puerto Rico,19.9459459459459,0.00713732357421584,38.3546666666694,0.00711557017837285,,,,,29,0.00389536713760389,35.1538461538469,0.00731640093126491,21.3214285714286,0.00820075172226358,35.8285714285769,0.00684133619547343
Rhode Island,32.8728606356968,0.168277748735347,62.4421052631579,0.180231508683689,,,29.4545454545455,0.107948494331215,15.9444444444444,0.0425751499473559,39.974025974026,0.168547479912689,23.2643391521197,0.141488181139692,58.996829422955,0.15478449490923
South Carolina,62.1611316113163,0.0589396355418804,58.2490337924874,0.0654778346223408,53.836820083682,0.0624379867841071,50.3563327032136,0.0461681413281229,30.7760741095672,0.0398152967308511,28.6977047956709,0.0425135826796216,49.7699836867863,0.0426486810265152,46.8058192323573,0.0511608848584502
South Dakota,68.0810810810811,0.172335898191262,70.1094720496895,0.126132049895096,,,,,39.9669211195929,0.123532824124066,41.5729442970822,0.118044534148038,56.1711568938194,0.132439512622126,56.8251445086705,0.117949568537326
Tennessee,33.279720519231,0.047160085852354,46.9001642575564,0.0519617648404891,22.0572033898305,0.0150631496981612,25.5870307167236,0.022621906412631,34.2102152807091,0.0421039179831464,34.2720565631728,0.0348856684758377,28.840010376904,0.0378307402882204,40.4985885199616,0.0418948437032018
Texas,66.6657487091224,0.0211896145203835,84.6735153116131,0.0124177179959804,46.0677704142565,0.017679105256387,54.6584725536995,0.0175079760362773,52.781353935699,0.0194423950759196,66.2150748270508,0.0183159986632626,64.3371581798627,0.0184390016126146,83.6571313155491,0.0110227502339372
Utah,39.7621313035205,0.0567963120677972,83.7339483854879,0.0456805508817144,23.9489395129615,0.0407636523364453,35.2854330708662,0.0510071988191269,47.1100917431192,0.0521620700755154,56.1266073194857,0.054739844943381,35.8523847588596,0.0464962668022757,78.5760021522732,0.0418187512873004
Vermont,37.1148325358852,0.291309985756326,72.2272727272727,0.279997586853292,,,,,,,38.1379310344828,0.269365314654353,26.5728155339806,0.341486043584618,59.933734939759,0.347848075259352
Virginia,90.2144997004193,0.0170976595912233,94.3549227619579,0.00903484459669618,84.1973030518098,0.0163902992059279,81.4767441860465,0.0229940616342922,80.3619270925499,0.0220541104967207,81.4036086890785,0.021854931891461,86.3339337492311,0.0182356238322626,89.8275779520019,0.0111500511515925
Washington,45.9667947732514,0.0533974810358344,79.8414131926884,0.0374399945034249,34.6644736842105,0.0378048782484389,39.2980702963474,0.0371374495190572,24.5389023583866,0.0273291526141799,48.1274016468436,0.0459299833432307,33.5299579708729,0.0365725371768413,72.7057869580063,0.0330026477607261
West Virginia,42.5283939662822,0.0585145676544319,42.420270569971,0.0640566579447393,,,,,32.2241630276565,0.0450242282468574,31.7768090671316,0.0449497575072234,34.4100908656145,0.0562794549709889,34.0831245729903,0.0603868757219453
Wisconsin,45.8193753308623,0.0757043072404533,51.840852658703,0.0686519045316858,33.0782122905027,0.040351479567745,31.143238909674,0.0375413228256547,30.6709886547812,0.0412048119515385,32.9683890577508,0.0460283016424307,41.4872943776083,0.0630497819705645,46.5977402878809,0.0573305489196891
Wyoming,,,72.6034482758621,0.721537833897665,,,,,,,36.3529411764706,0.756715552834838,,,63.5588235294118,0.67309732719982
